/home/eyavuz21/.conda/envs/B-LoRA_2/lib/python3.11/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[ae] dataset=16 num_pairs=80 rank=64 latent_dim=41472 device=cuda
step=00320/3000 loss=7.527380 tensor_mse=0.046738 delta_mse=0.000011 delta_rel=5.6726 delta_rel_loss=1.8980 cos=0.0091 rel=1.1174 norm_ratio=0.5076
step=00330/3000 loss=7.708639 tensor_mse=0.061157 delta_mse=0.000026 delta_rel=13.0698 delta_rel_loss=2.6440 cos=0.0022 rel=1.2354 norm_ratio=0.7276
step=00340/3000 loss=7.588839 tensor_mse=0.050114 delta_mse=0.000017 delta_rel=8.3384 delta_rel_loss=2.2341 cos=0.0070 rel=1.1498 norm_ratio=0.5746
step=00350/3000 loss=7.867013 tensor_mse=0.044020 delta_mse=0.000013 delta_rel=17.9958 delta_rel_loss=2.9442 cos=0.0109 rel=1.1678 norm_ratio=0.6142
step=00360/3000 loss=7.730935 tensor_mse=0.041451 delta_mse=0.000008 delta_rel=9.6196 delta_rel_loss=2.3627 cos=0.0076 rel=1.1247 norm_ratio=0.5224
step=00370/3000 loss=7.908704 tensor_mse=0.048463 delta_mse=0.000013 delta_rel=21.4606 delta_rel_loss=3.1118 cos=0.0129 rel=1.1874 norm_ratio=0.6532
step=00380/3000 loss=7.804199 tensor_mse=0.047765 delta_mse=0.000015 delta_rel=14.4954 delta_rel_loss=2.7405 cos=0.0048 rel=1.1703 norm_ratio=0.6127
step=00390/3000 loss=7.513514 tensor_mse=0.045507 delta_mse=0.000008 delta_rel=4.7368 delta_rel_loss=1.7469 cos=0.0083 rel=1.1069 norm_ratio=0.4831
step=00400/3000 loss=7.799543 tensor_mse=0.048735 delta_mse=0.000013 delta_rel=16.7530 delta_rel_loss=2.8766 cos=0.0129 rel=1.1817 norm_ratio=0.6427
step=00410/3000 loss=7.674090 tensor_mse=0.049795 delta_mse=0.000012 delta_rel=12.2478 delta_rel_loss=2.5838 cos=0.0107 rel=1.1785 norm_ratio=0.6343
step=00420/3000 loss=7.448495 tensor_mse=0.047865 delta_mse=0.000011 delta_rel=6.4647 delta_rel_loss=2.0102 cos=0.0130 rel=1.1445 norm_ratio=0.5699
step=00430/3000 loss=7.678471 tensor_mse=0.046857 delta_mse=0.000011 delta_rel=11.1362 delta_rel_loss=2.4962 cos=0.0061 rel=1.1676 norm_ratio=0.6088
step=00440/3000 loss=7.425029 tensor_mse=0.044959 delta_mse=0.000008 delta_rel=5.2675 delta_rel_loss=1.8354 cos=0.0115 rel=1.1287 norm_ratio=0.5350
step=00450/3000 loss=8.142111 tensor_mse=0.069177 delta_mse=0.000024 delta_rel=32.3396 delta_rel_loss=3.5067 cos=0.0089 rel=1.3584 norm_ratio=0.9283
step=00460/3000 loss=7.641660 tensor_mse=0.049341 delta_mse=0.000015 delta_rel=10.1565 delta_rel_loss=2.4120 cos=0.0028 rel=1.1768 norm_ratio=0.6232
step=00470/3000 loss=7.489943 tensor_mse=0.047363 delta_mse=0.000011 delta_rel=6.6098 delta_rel_loss=2.0294 cos=0.0088 rel=1.1438 norm_ratio=0.5641
step=00480/3000 loss=7.560336 tensor_mse=0.043502 delta_mse=0.000007 delta_rel=7.7439 delta_rel_loss=2.1684 cos=0.0063 rel=1.1478 norm_ratio=0.5698
step=00490/3000 loss=7.430084 tensor_mse=0.045949 delta_mse=0.000008 delta_rel=6.2762 delta_rel_loss=1.9846 cos=0.0117 rel=1.1489 norm_ratio=0.5775
step=00500/3000 loss=7.403155 tensor_mse=0.046727 delta_mse=0.000008 delta_rel=4.4028 delta_rel_loss=1.6869 cos=0.0089 rel=1.1215 norm_ratio=0.5166
[save] /scratch/eyavuz21/lora_autoencoder/overfit16_v4_global_pair_fuse/checkpoint-500
step=00510/3000 loss=7.603607 tensor_mse=0.048941 delta_mse=0.000015 delta_rel=10.3508 delta_rel_loss=2.4293 cos=0.0077 rel=1.1857 norm_ratio=0.6448
step=00520/3000 loss=7.462212 tensor_mse=0.048150 delta_mse=0.000011 delta_rel=7.8871 delta_rel_loss=2.1846 cos=0.0137 rel=1.1735 norm_ratio=0.6279
step=00530/3000 loss=7.398308 tensor_mse=0.046715 delta_mse=0.000009 delta_rel=5.3669 delta_rel_loss=1.8511 cos=0.0090 rel=1.1438 norm_ratio=0.5644
step=00540/3000 loss=7.363234 tensor_mse=0.048555 delta_mse=0.000009 delta_rel=4.8413 delta_rel_loss=1.7650 cos=0.0068 rel=1.1468 norm_ratio=0.5682
step=00550/3000 loss=7.340508 tensor_mse=0.047138 delta_mse=0.000008 delta_rel=4.4938 delta_rel_loss=1.7036 cos=0.0098 rel=1.1376 norm_ratio=0.5522
step=00560/3000 loss=7.318079 tensor_mse=0.047458 delta_mse=0.000009 delta_rel=4.9750 delta_rel_loss=1.7876 cos=0.0115 rel=1.1548 norm_ratio=0.5893
step=00570/3000 loss=7.297761 tensor_mse=0.048988 delta_mse=0.000009 delta_rel=4.6343 delta_rel_loss=1.7289 cos=0.0128 rel=1.1488 norm_ratio=0.5784
step=00580/3000 loss=7.334661 tensor_mse=0.047635 delta_mse=0.000009 delta_rel=4.6900 delta_rel_loss=1.7387 cos=0.0099 rel=1.1444 norm_ratio=0.5665
step=00590/3000 loss=7.288837 tensor_mse=0.047688 delta_mse=0.000008 delta_rel=4.4704 delta_rel_loss=1.6993 cos=0.0126 rel=1.1468 norm_ratio=0.5742
step=00600/3000 loss=7.535944 tensor_mse=0.043778 delta_mse=0.000006 delta_rel=8.7837 delta_rel_loss=2.2807 cos=0.0077 rel=1.1785 norm_ratio=0.6312
step=00610/3000 loss=7.366208 tensor_mse=0.045778 delta_mse=0.000008 delta_rel=5.8421 delta_rel_loss=1.9231 cos=0.0106 rel=1.1649 norm_ratio=0.6083
step=00620/3000 loss=7.399672 tensor_mse=0.044239 delta_mse=0.000007 delta_rel=6.8132 delta_rel_loss=2.0558 cos=0.0130 rel=1.1729 norm_ratio=0.6260
step=00630/3000 loss=7.594077 tensor_mse=0.045369 delta_mse=0.000008 delta_rel=11.2074 delta_rel_loss=2.5020 cos=0.0117 rel=1.1981 norm_ratio=0.6718
step=00640/3000 loss=7.260528 tensor_mse=0.048857 delta_mse=0.000009 delta_rel=4.2393 delta_rel_loss=1.6562 cos=0.0097 rel=1.1572 norm_ratio=0.5920
step=00650/3000 loss=7.304442 tensor_mse=0.048612 delta_mse=0.000010 delta_rel=4.9283 delta_rel_loss=1.7797 cos=0.0115 rel=1.1593 norm_ratio=0.5982
step=00660/3000 loss=7.560268 tensor_mse=0.044141 delta_mse=0.000008 delta_rel=10.4197 delta_rel_loss=2.4353 cos=0.0116 rel=1.1980 norm_ratio=0.6714
step=00670/3000 loss=7.420535 tensor_mse=0.043444 delta_mse=0.000006 delta_rel=7.2056 delta_rel_loss=2.1048 cos=0.0108 rel=1.1825 norm_ratio=0.6421
step=00680/3000 loss=7.522565 tensor_mse=0.042584 delta_mse=0.000006 delta_rel=9.3837 delta_rel_loss=2.3402 cos=0.0127 rel=1.1842 norm_ratio=0.6471
step=00690/3000 loss=7.450613 tensor_mse=0.044586 delta_mse=0.000007 delta_rel=8.3633 delta_rel_loss=2.2368 cos=0.0147 rel=1.1914 norm_ratio=0.6624
step=00700/3000 loss=7.296823 tensor_mse=0.045915 delta_mse=0.000007 delta_rel=5.3318 delta_rel_loss=1.8456 cos=0.0125 rel=1.1742 norm_ratio=0.6281
step=00710/3000 loss=7.227978 tensor_mse=0.048563 delta_mse=0.000009 delta_rel=4.3353 delta_rel_loss=1.6743 cos=0.0152 rel=1.1587 norm_ratio=0.6008
step=00720/3000 loss=7.458581 tensor_mse=0.042475 delta_mse=0.000005 delta_rel=8.2589 delta_rel_loss=2.2256 cos=0.0146 rel=1.1806 norm_ratio=0.6423
step=00730/3000 loss=7.198982 tensor_mse=0.048305 delta_mse=0.000008 delta_rel=3.9359 delta_rel_loss=1.5965 cos=0.0155 rel=1.1538 norm_ratio=0.5912
step=00740/3000 loss=7.257613 tensor_mse=0.043499 delta_mse=0.000005 delta_rel=4.8164 delta_rel_loss=1.7607 cos=0.0149 rel=1.1634 norm_ratio=0.6096
step=00750/3000 loss=7.333015 tensor_mse=0.043511 delta_mse=0.000005 delta_rel=5.7975 delta_rel_loss=1.9166 cos=0.0111 rel=1.1775 norm_ratio=0.6329
[save] /scratch/eyavuz21/lora_autoencoder/overfit16_v4_global_pair_fuse/checkpoint-750
step=00760/3000 loss=7.371550 tensor_mse=0.043383 delta_mse=0.000006 delta_rel=6.8543 delta_rel_loss=2.0611 cos=0.0148 rel=1.1834 norm_ratio=0.6478
step=00770/3000 loss=7.584936 tensor_mse=0.045068 delta_mse=0.000007 delta_rel=11.9663 delta_rel_loss=2.5624 cos=0.0172 rel=1.2032 norm_ratio=0.6865
step=00780/3000 loss=7.310516 tensor_mse=0.042990 delta_mse=0.000005 delta_rel=5.7983 delta_rel_loss=1.9167 cos=0.0154 rel=1.1741 norm_ratio=0.6309
step=00790/3000 loss=7.377316 tensor_mse=0.046575 delta_mse=0.000007 delta_rel=7.2399 delta_rel_loss=2.1090 cos=0.0162 rel=1.1927 norm_ratio=0.6665
step=00800/3000 loss=7.213181 tensor_mse=0.050451 delta_mse=0.000009 delta_rel=4.9223 delta_rel_loss=1.7787 cos=0.0182 rel=1.1854 norm_ratio=0.6550
step=00810/3000 loss=7.587831 tensor_mse=0.047100 delta_mse=0.000009 delta_rel=12.5837 delta_rel_loss=2.6089 cos=0.0193 rel=1.2147 norm_ratio=0.7092
step=00820/3000 loss=7.375346 tensor_mse=0.044299 delta_mse=0.000006 delta_rel=7.2340 delta_rel_loss=2.1083 cos=0.0170 rel=1.1882 norm_ratio=0.6591
step=00830/3000 loss=7.343318 tensor_mse=0.043202 delta_mse=0.000005 delta_rel=6.4736 delta_rel_loss=2.0114 cos=0.0165 rel=1.1785 norm_ratio=0.6404
step=00840/3000 loss=7.274641 tensor_mse=0.043064 delta_mse=0.000004 delta_rel=5.5150 delta_rel_loss=1.8741 cos=0.0177 rel=1.1741 norm_ratio=0.6332
step=00850/3000 loss=7.137242 tensor_mse=0.049163 delta_mse=0.000008 delta_rel=3.8265 delta_rel_loss=1.5741 cos=0.0211 rel=1.1594 norm_ratio=0.6082
step=00860/3000 loss=7.237530 tensor_mse=0.045240 delta_mse=0.000005 delta_rel=5.3883 delta_rel_loss=1.8545 cos=0.0219 rel=1.1755 norm_ratio=0.6401
step=00870/3000 loss=7.325648 tensor_mse=0.046292 delta_mse=0.000006 delta_rel=6.6875 delta_rel_loss=2.0396 cos=0.0197 rel=1.1888 norm_ratio=0.6628
step=00880/3000 loss=7.157821 tensor_mse=0.047182 delta_mse=0.000007 delta_rel=3.9948 delta_rel_loss=1.6084 cos=0.0190 rel=1.1633 norm_ratio=0.6138
step=00890/3000 loss=7.369187 tensor_mse=0.044414 delta_mse=0.000005 delta_rel=7.6912 delta_rel_loss=2.1623 cos=0.0230 rel=1.1851 norm_ratio=0.6594
step=00900/3000 loss=7.305449 tensor_mse=0.045628 delta_mse=0.000006 delta_rel=6.4392 delta_rel_loss=2.0068 cos=0.0214 rel=1.1832 norm_ratio=0.6542
step=00910/3000 loss=7.199067 tensor_mse=0.046703 delta_mse=0.000006 delta_rel=4.6253 delta_rel_loss=1.7273 cos=0.0195 rel=1.1707 norm_ratio=0.6286
step=00920/3000 loss=7.280180 tensor_mse=0.043607 delta_mse=0.000005 delta_rel=5.9968 delta_rel_loss=1.9454 cos=0.0204 rel=1.1824 norm_ratio=0.6517
step=00930/3000 loss=7.433228 tensor_mse=0.043598 delta_mse=0.000005 delta_rel=8.9169 delta_rel_loss=2.2942 cos=0.0212 rel=1.1949 norm_ratio=0.6757
step=00940/3000 loss=7.123499 tensor_mse=0.049193 delta_mse=0.000008 delta_rel=3.9493 delta_rel_loss=1.5992 cos=0.0245 rel=1.1610 norm_ratio=0.6150
step=00950/3000 loss=7.342834 tensor_mse=0.043285 delta_mse=0.000004 delta_rel=7.2618 delta_rel_loss=2.1116 cos=0.0228 rel=1.1860 norm_ratio=0.6609
step=00960/3000 loss=7.115120 tensor_mse=0.048428 delta_mse=0.000007 delta_rel=3.9758 delta_rel_loss=1.6046 cos=0.0253 rel=1.1635 norm_ratio=0.6206
step=00970/3000 loss=7.197614 tensor_mse=0.044444 delta_mse=0.000005 delta_rel=5.0164 delta_rel_loss=1.7945 cos=0.0239 rel=1.1732 norm_ratio=0.6378
step=00980/3000 loss=7.286737 tensor_mse=0.046465 delta_mse=0.000006 delta_rel=6.7245 delta_rel_loss=2.0444 cos=0.0252 rel=1.1950 norm_ratio=0.6799
step=00990/3000 loss=7.115824 tensor_mse=0.048996 delta_mse=0.000008 delta_rel=4.1088 delta_rel_loss=1.6310 cos=0.0272 rel=1.1640 norm_ratio=0.6234
step=01000/3000 loss=7.153307 tensor_mse=0.046738 delta_mse=0.000006 delta_rel=4.5332 delta_rel_loss=1.7108 cos=0.0242 rel=1.1748 norm_ratio=0.6412
[save] /scratch/eyavuz21/lora_autoencoder/overfit16_v4_global_pair_fuse/checkpoint-1000
step=01010/3000 loss=7.265798 tensor_mse=0.044817 delta_mse=0.000005 delta_rel=6.2714 delta_rel_loss=1.9840 cos=0.0248 rel=1.1878 norm_ratio=0.6662
step=01020/3000 loss=7.065454 tensor_mse=0.046905 delta_mse=0.000005 delta_rel=3.9088 delta_rel_loss=1.5910 cos=0.0308 rel=1.1662 norm_ratio=0.6317
step=01030/3000 loss=7.066634 tensor_mse=0.046965 delta_mse=0.000006 delta_rel=3.8809 delta_rel_loss=1.5853 cos=0.0296 rel=1.1684 norm_ratio=0.6347
step=01040/3000 loss=7.212313 tensor_mse=0.045655 delta_mse=0.000006 delta_rel=5.9555 delta_rel_loss=1.9395 cos=0.0301 rel=1.1866 norm_ratio=0.6695
step=01050/3000 loss=7.033487 tensor_mse=0.046989 delta_mse=0.000006 delta_rel=3.7679 delta_rel_loss=1.5619 cos=0.0324 rel=1.1706 norm_ratio=0.6417
step=01060/3000 loss=6.996666 tensor_mse=0.049154 delta_mse=0.000006 delta_rel=3.4575 delta_rel_loss=1.4946 cos=0.0349 rel=1.1643 norm_ratio=0.6322
step=01070/3000 loss=6.962895 tensor_mse=0.048561 delta_mse=0.000006 delta_rel=3.1830 delta_rel_loss=1.4310 cos=0.0356 rel=1.1623 norm_ratio=0.6292
step=01080/3000 loss=7.248692 tensor_mse=0.046481 delta_mse=0.000005 delta_rel=6.8829 delta_rel_loss=2.0647 cos=0.0314 rel=1.2061 norm_ratio=0.7065
step=01090/3000 loss=7.012489 tensor_mse=0.051795 delta_mse=0.000007 delta_rel=4.2193 delta_rel_loss=1.6524 cos=0.0390 rel=1.1936 norm_ratio=0.6918
step=01100/3000 loss=7.132252 tensor_mse=0.047501 delta_mse=0.000003 delta_rel=5.4358 delta_rel_loss=1.8619 cos=0.0331 rel=1.2147 norm_ratio=0.7235
step=01110/3000 loss=6.994900 tensor_mse=0.049727 delta_mse=0.000004 delta_rel=4.1093 delta_rel_loss=1.6311 cos=0.0374 rel=1.2126 norm_ratio=0.7243
step=01120/3000 loss=6.959962 tensor_mse=0.050766 delta_mse=0.000004 delta_rel=3.7948 delta_rel_loss=1.5675 cos=0.0375 rel=1.2196 norm_ratio=0.7367
step=01130/3000 loss=6.830764 tensor_mse=0.053323 delta_mse=0.000006 delta_rel=3.1885 delta_rel_loss=1.4324 cos=0.0500 rel=1.2013 norm_ratio=0.7175
step=01140/3000 loss=6.887908 tensor_mse=0.053136 delta_mse=0.000005 delta_rel=3.5042 delta_rel_loss=1.5050 cos=0.0455 rel=1.2111 norm_ratio=0.7302
step=01150/3000 loss=7.053935 tensor_mse=0.051868 delta_mse=0.000004 delta_rel=4.8400 delta_rel_loss=1.7647 cos=0.0376 rel=1.2361 norm_ratio=0.7651
step=01160/3000 loss=6.782917 tensor_mse=0.054363 delta_mse=0.000006 delta_rel=3.2835 delta_rel_loss=1.4548 cos=0.0599 rel=1.2030 norm_ratio=0.7313
step=01170/3000 loss=6.984960 tensor_mse=0.052137 delta_mse=0.000003 delta_rel=4.2834 delta_rel_loss=1.6646 cos=0.0412 rel=1.2304 norm_ratio=0.7592
step=01180/3000 loss=6.765681 tensor_mse=0.054546 delta_mse=0.000004 delta_rel=2.9691 delta_rel_loss=1.3785 cos=0.0562 rel=1.2058 norm_ratio=0.7322
step=01190/3000 loss=6.835830 tensor_mse=0.054511 delta_mse=0.000003 delta_rel=3.6156 delta_rel_loss=1.5294 cos=0.0559 rel=1.2251 norm_ratio=0.7658
step=01200/3000 loss=6.755397 tensor_mse=0.055408 delta_mse=0.000005 delta_rel=3.5543 delta_rel_loss=1.5161 cos=0.0693 rel=1.2151 norm_ratio=0.7629
