/home/eyavuz21/.conda/envs/B-LoRA_2/lib/python3.11/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[ae] dataset=16 num_pairs=80 rank=64 latent_dim=65536 device=cuda
step=00530/2000 loss=0.048881 tensor_mse=0.038941 delta_mse=0.000003 cos=0.0060 rel=1.0405
step=00540/2000 loss=0.047054 tensor_mse=0.037109 delta_mse=0.000002 cos=0.0056 rel=1.0460
step=00550/2000 loss=0.050614 tensor_mse=0.040672 delta_mse=0.000004 cos=0.0058 rel=1.0424
step=00560/2000 loss=0.051904 tensor_mse=0.041952 delta_mse=0.000005 cos=0.0048 rel=1.0579
step=00570/2000 loss=0.046485 tensor_mse=0.036539 delta_mse=0.000002 cos=0.0054 rel=1.0565
step=00580/2000 loss=0.045695 tensor_mse=0.035757 delta_mse=0.000001 cos=0.0062 rel=1.0455
step=00590/2000 loss=0.051043 tensor_mse=0.041111 delta_mse=0.000004 cos=0.0068 rel=1.0336
step=00600/2000 loss=0.050330 tensor_mse=0.040386 delta_mse=0.000004 cos=0.0056 rel=1.0479
step=00610/2000 loss=0.047473 tensor_mse=0.037531 delta_mse=0.000003 cos=0.0058 rel=1.0581
step=00620/2000 loss=0.051120 tensor_mse=0.041189 delta_mse=0.000005 cos=0.0069 rel=1.0351
step=00630/2000 loss=0.047007 tensor_mse=0.037069 delta_mse=0.000002 cos=0.0062 rel=1.0441
step=00640/2000 loss=0.050722 tensor_mse=0.040783 delta_mse=0.000004 cos=0.0061 rel=1.0448
step=00650/2000 loss=0.048912 tensor_mse=0.038982 delta_mse=0.000004 cos=0.0070 rel=1.0416
step=00660/2000 loss=0.045831 tensor_mse=0.035895 delta_mse=0.000002 cos=0.0065 rel=1.0503
step=00670/2000 loss=0.047629 tensor_mse=0.037692 delta_mse=0.000002 cos=0.0063 rel=1.0530
step=00680/2000 loss=0.050514 tensor_mse=0.040587 delta_mse=0.000004 cos=0.0073 rel=1.0387
step=00690/2000 loss=0.047182 tensor_mse=0.037253 delta_mse=0.000002 cos=0.0071 rel=1.0436
step=00700/2000 loss=0.045721 tensor_mse=0.035792 delta_mse=0.000002 cos=0.0071 rel=1.0462
step=00710/2000 loss=0.048988 tensor_mse=0.039059 delta_mse=0.000003 cos=0.0072 rel=1.0420
step=00720/2000 loss=0.051804 tensor_mse=0.041871 delta_mse=0.000005 cos=0.0067 rel=1.0454
step=00730/2000 loss=0.050430 tensor_mse=0.040509 delta_mse=0.000004 cos=0.0079 rel=1.0358
step=00740/2000 loss=0.051652 tensor_mse=0.041727 delta_mse=0.000005 cos=0.0075 rel=1.0417
step=00750/2000 loss=0.047076 tensor_mse=0.037149 delta_mse=0.000002 cos=0.0074 rel=1.0464
[save] /scratch/eyavuz21/lora_autoencoder/overfit16_v1/checkpoint-750
step=00760/2000 loss=0.050059 tensor_mse=0.040140 delta_mse=0.000004 cos=0.0082 rel=1.0392
step=00770/2000 loss=0.051582 tensor_mse=0.041664 delta_mse=0.000005 cos=0.0083 rel=1.0399
step=00780/2000 loss=0.050621 tensor_mse=0.040701 delta_mse=0.000004 cos=0.0080 rel=1.0418
step=00790/2000 loss=0.051602 tensor_mse=0.041685 delta_mse=0.000005 cos=0.0084 rel=1.0401
step=00800/2000 loss=0.047363 tensor_mse=0.037445 delta_mse=0.000002 cos=0.0082 rel=1.0447
step=00810/2000 loss=0.048815 tensor_mse=0.038907 delta_mse=0.000004 cos=0.0092 rel=1.0382
step=00820/2000 loss=0.051156 tensor_mse=0.041249 delta_mse=0.000005 cos=0.0094 rel=1.0361
step=00830/2000 loss=0.047232 tensor_mse=0.037321 delta_mse=0.000002 cos=0.0090 rel=1.0398
step=00840/2000 loss=0.048627 tensor_mse=0.038718 delta_mse=0.000003 cos=0.0091 rel=1.0400
step=00850/2000 loss=0.048728 tensor_mse=0.038827 delta_mse=0.000003 cos=0.0099 rel=1.0349
step=00860/2000 loss=0.045563 tensor_mse=0.035656 delta_mse=0.000001 cos=0.0093 rel=1.0413
step=00870/2000 loss=0.048860 tensor_mse=0.038957 delta_mse=0.000004 cos=0.0098 rel=1.0403
step=00880/2000 loss=0.045499 tensor_mse=0.035594 delta_mse=0.000001 cos=0.0096 rel=1.0382
step=00890/2000 loss=0.048889 tensor_mse=0.038985 delta_mse=0.000004 cos=0.0096 rel=1.0410
step=00900/2000 loss=0.051625 tensor_mse=0.041721 delta_mse=0.000005 cos=0.0097 rel=1.0424
